Date,Open,High,Low,Close,Volume
10-Apr-16,-,-,-,0.56,-
9-Apr-16,-,-,-,0.59,-
8-Apr-16,-,-,-,0.59,-
7-Apr-16,-,-,-,0.59,-
6-Apr-16,-,-,-,0.59,-
5-Apr-16,-,-,-,0.59,-
4-Apr-16,-,-,-,0.60,-
3-Apr-16,-,-,-,0.60,-
2-Apr-16,-,-,-,0.59,-
1-Apr-16,-,-,-,0.59,-
31-Mar-16,-,-,-,0.60,-
30-Mar-16,-,-,-,0.60,-
29-Mar-16,-,-,-,0.59,-
28-Mar-16,-,-,-,0.59,-
27-Mar-16,-,-,-,0.59,-
26-Mar-16,-,-,-,0.60,-
25-Mar-16,-,-,-,0.60,-
24-Mar-16,-,-,-,0.59,-
23-Mar-16,-,-,-,0.59,-
22-Mar-16,-,-,-,0.59,-
21-Mar-16,-,-,-,0.59,-
20-Mar-16,-,-,-,0.59,-
19-Mar-16,-,-,-,0.59,-
18-Mar-16,-,-,-,0.58,-
17-Mar-16,-,-,-,0.58,-
16-Mar-16,-,-,-,0.58,-
15-Mar-16,-,-,-,0.58,-
14-Mar-16,-,-,-,0.58,-
13-Mar-16,-,-,-,0.59,-
12-Mar-16,-,-,-,0.59,-
11-Mar-16,-,-,-,0.59,-
10-Mar-16,-,-,-,0.59,-
9-Mar-16,-,-,-,0.59,-
8-Mar-16,-,-,-,0.59,-
7-Mar-16,-,-,-,0.59,-
6-Mar-16,-,-,-,0.58,-
5-Mar-16,-,-,-,0.59,-
4-Mar-16,-,-,-,0.59,-
3-Mar-16,-,-,-,0.59,-
2-Mar-16,-,-,-,0.59,-
1-Mar-16,-,-,-,0.59,-
29-Feb-16,-,-,-,0.60,-
28-Feb-16,-,-,-,0.60,-
27-Feb-16,-,-,-,0.61,-
26-Feb-16,-,-,-,0.60,-
25-Feb-16,-,-,-,0.61,-
24-Feb-16,-,-,-,0.61,-
23-Feb-16,-,-,-,0.61,-
22-Feb-16,-,-,-,0.61,-
21-Feb-16,-,-,-,0.62,-
20-Feb-16,-,-,-,0.62,-
19-Feb-16,-,-,-,0.62,-
18-Feb-16,-,-,-,0.62,-
17-Feb-16,-,-,-,0.62,-
16-Feb-16,-,-,-,0.61,-
15-Feb-16,-,-,-,0.62,-
14-Feb-16,-,-,-,0.60,-
13-Feb-16,-,-,-,0.60,-
12-Feb-16,-,-,-,0.61,-
11-Feb-16,-,-,-,0.61,-
10-Feb-16,-,-,-,0.61,-
9-Feb-16,-,-,-,0.61,-
8-Feb-16,-,-,-,0.61,-
7-Feb-16,-,-,-,0.61,-
6-Feb-16,-,-,-,0.62,-
5-Feb-16,-,-,-,0.62,-
4-Feb-16,-,-,-,0.63,-
3-Feb-16,-,-,-,0.63,-
2-Feb-16,-,-,-,0.63,-
1-Feb-16,-,-,-,0.64,-
31-Jan-16,-,-,-,0.65,-
30-Jan-16,-,-,-,0.65,-
29-Jan-16,-,-,-,0.65,-
28-Jan-16,-,-,-,0.66,-
27-Jan-16,-,-,-,0.66,-
26-Jan-16,-,-,-,0.66,-
25-Jan-16,-,-,-,0.66,-
24-Jan-16,-,-,-,0.67,-
23-Jan-16,-,-,-,0.66,-
22-Jan-16,-,-,-,0.66,-
21-Jan-16,-,-,-,0.65,-
20-Jan-16,-,-,-,0.65,-
19-Jan-16,-,-,-,0.65,-
18-Jan-16,-,-,-,0.64,-
17-Jan-16,-,-,-,0.63,-
16-Jan-16,-,-,-,0.63,-
15-Jan-16,-,-,-,0.64,-
14-Jan-16,-,-,-,0.64,-
13-Jan-16,-,-,-,0.65,-
12-Jan-16,-,-,-,0.66,-
11-Jan-16,-,-,-,0.67,-
10-Jan-16,-,-,-,0.68,-
9-Jan-16,-,-,-,0.69,-
8-Jan-16,-,-,-,0.69,-
7-Jan-16,-,-,-,0.70,-
6-Jan-16,-,-,-,0.72,-
5-Jan-16,-,-,-,0.73,-
4-Jan-16,-,-,-,0.74,-
3-Jan-16,-,-,-,0.76,-
2-Jan-16,-,-,-,0.76,-
1-Jan-16,-,-,-,0.77,-
31-Dec-15,-,-,-,0.78,-
30-Dec-15,-,-,-,0.78,-
29-Dec-15,-,-,-,0.77,-
28-Dec-15,-,-,-,0.77,-
27-Dec-15,-,-,-,0.76,-
26-Dec-15,-,-,-,0.76,-
25-Dec-15,-,-,-,0.75,-
24-Dec-15,-,-,-,0.73,-
23-Dec-15,-,-,-,0.73,-
22-Dec-15,-,-,-,0.72,-
21-Dec-15,-,-,-,0.72,-
20-Dec-15,-,-,-,0.71,-
19-Dec-15,-,-,-,0.71,-
18-Dec-15,-,-,-,0.70,-
17-Dec-15,-,-,-,0.70,-
16-Dec-15,-,-,-,0.70,-
15-Dec-15,-,-,-,0.69,-
14-Dec-15,-,-,-,0.69,-
13-Dec-15,-,-,-,0.70,-
12-Dec-15,-,-,-,0.70,-
11-Dec-15,-,-,-,0.70,-
10-Dec-15,-,-,-,0.70,-
9-Dec-15,-,-,-,0.70,-
8-Dec-15,-,-,-,0.70,-
7-Dec-15,-,-,-,0.71,-
6-Dec-15,-,-,-,0.73,-
5-Dec-15,-,-,-,0.75,-
4-Dec-15,-,-,-,0.78,-
3-Dec-15,-,-,-,0.84,-
2-Dec-15,-,-,-,0.89,-
1-Dec-15,-,-,-,0.92,-
30-Nov-15,-,-,-,0.93,-
29-Nov-15,-,-,-,0.93,-
28-Nov-15,-,-,-,0.93,-
27-Nov-15,-,-,-,0.92,-
26-Nov-15,-,-,-,0.86,-
25-Nov-15,-,-,-,0.81,-
24-Nov-15,-,-,-,0.78,-
23-Nov-15,-,-,-,0.76,-
22-Nov-15,-,-,-,0.74,-
21-Nov-15,-,-,-,0.72,-
20-Nov-15,-,-,-,0.70,-
19-Nov-15,-,-,-,0.69,-
18-Nov-15,-,-,-,0.69,-
17-Nov-15,-,-,-,0.68,-
16-Nov-15,-,-,-,0.68,-
15-Nov-15,-,-,-,0.68,-
14-Nov-15,-,-,-,0.68,-
13-Nov-15,-,-,-,0.68,-
12-Nov-15,-,-,-,0.68,-
11-Nov-15,-,-,-,0.67,-
10-Nov-15,-,-,-,0.67,-
9-Nov-15,-,-,-,0.66,-
8-Nov-15,-,-,-,0.65,-
7-Nov-15,-,-,-,0.63,-
6-Nov-15,-,-,-,0.62,-
5-Nov-15,-,-,-,0.61,-
4-Nov-15,-,-,-,0.61,-
3-Nov-15,-,-,-,0.60,-
2-Nov-15,-,-,-,0.60,-
1-Nov-15,-,-,-,0.60,-
31-Oct-15,-,-,-,0.59,-
30-Oct-15,-,-,-,0.59,-
29-Oct-15,-,-,-,0.59,-
28-Oct-15,-,-,-,0.59,-
27-Oct-15,-,-,-,0.59,-
26-Oct-15,-,-,-,0.59,-
25-Oct-15,-,-,-,0.59,-
24-Oct-15,-,-,-,0.59,-
23-Oct-15,-,-,-,0.59,-
22-Oct-15,-,-,-,0.59,-
21-Oct-15,-,-,-,0.60,-
20-Oct-15,-,-,-,0.60,-
19-Oct-15,-,-,-,0.60,-
18-Oct-15,-,-,-,0.60,-
17-Oct-15,-,-,-,0.60,-
16-Oct-15,-,-,-,0.60,-
15-Oct-15,-,-,-,0.60,-
14-Oct-15,-,-,-,0.59,-
13-Oct-15,-,-,-,0.59,-
12-Oct-15,-,-,-,0.59,-
11-Oct-15,-,-,-,0.59,-
10-Oct-15,-,-,-,0.59,-
9-Oct-15,-,-,-,0.59,-
8-Oct-15,-,-,-,0.59,-
7-Oct-15,-,-,-,0.59,-
6-Oct-15,-,-,-,0.59,-
5-Oct-15,-,-,-,0.60,-
4-Oct-15,-,-,-,0.59,-
3-Oct-15,-,-,-,0.59,-
2-Oct-15,-,-,-,0.58,-
1-Oct-15,-,-,-,0.58,-
30-Sep-15,-,-,-,0.58,-
29-Sep-15,-,-,-,0.58,-
28-Sep-15,-,-,-,0.58,-
27-Sep-15,-,-,-,0.58,-
26-Sep-15,-,-,-,0.58,-
25-Sep-15,-,-,-,0.58,-
24-Sep-15,-,-,-,0.58,-
23-Sep-15,-,-,-,0.58,-
22-Sep-15,-,-,-,0.58,-
21-Sep-15,-,-,-,0.58,-
20-Sep-15,-,-,-,0.58,-
19-Sep-15,-,-,-,0.58,-
18-Sep-15,-,-,-,0.58,-
17-Sep-15,-,-,-,0.58,-
16-Sep-15,-,-,-,0.58,-
15-Sep-15,-,-,-,0.59,-
14-Sep-15,-,-,-,0.60,-
13-Sep-15,-,-,-,0.62,-
12-Sep-15,-,-,-,0.63,-
11-Sep-15,-,-,-,0.63,-
10-Sep-15,-,-,-,0.63,-
9-Sep-15,-,-,-,0.63,-
8-Sep-15,-,-,-,0.64,-
7-Sep-15,-,-,-,0.64,-
6-Sep-15,-,-,-,0.62,-
5-Sep-15,-,-,-,0.62,-
4-Sep-15,-,-,-,0.62,-
3-Sep-15,-,-,-,0.62,-
2-Sep-15,-,-,-,0.62,-
1-Sep-15,-,-,-,0.61,-
31-Aug-15,-,-,-,0.62,-
30-Aug-15,-,-,-,0.62,-
29-Aug-15,-,-,-,0.62,-
28-Aug-15,-,-,-,0.62,-
27-Aug-15,-,-,-,0.62,-
26-Aug-15,-,-,-,0.62,-
25-Aug-15,-,-,-,0.62,-
24-Aug-15,-,-,-,0.63,-
23-Aug-15,-,-,-,0.63,-
22-Aug-15,-,-,-,0.63,-
21-Aug-15,-,-,-,0.63,-
20-Aug-15,-,-,-,0.63,-
19-Aug-15,-,-,-,0.64,-
18-Aug-15,-,-,-,0.64,-
17-Aug-15,-,-,-,0.64,-
16-Aug-15,-,-,-,0.64,-
15-Aug-15,-,-,-,0.64,-
14-Aug-15,-,-,-,0.64,-
13-Aug-15,-,-,-,0.64,-
12-Aug-15,-,-,-,0.64,-
11-Aug-15,-,-,-,0.63,-
10-Aug-15,-,-,-,0.63,-
9-Aug-15,-,-,-,0.63,-
8-Aug-15,-,-,-,0.63,-
7-Aug-15,-,-,-,0.63,-
6-Aug-15,-,-,-,0.63,-
5-Aug-15,-,-,-,0.63,-
4-Aug-15,-,-,-,0.63,-
3-Aug-15,-,-,-,0.63,-
2-Aug-15,-,-,-,0.63,-
1-Aug-15,-,-,-,0.64,-
31-Jul-15,-,-,-,0.63,-
30-Jul-15,-,-,-,0.64,-
29-Jul-15,-,-,-,0.64,-
28-Jul-15,-,-,-,0.64,-
27-Jul-15,-,-,-,0.64,-
26-Jul-15,-,-,-,0.64,-
25-Jul-15,-,-,-,0.63,-
24-Jul-15,-,-,-,0.64,-
23-Jul-15,-,-,-,0.64,-
22-Jul-15,-,-,-,0.64,-
21-Jul-15,-,-,-,0.65,-
20-Jul-15,-,-,-,0.65,-
19-Jul-15,-,-,-,0.65,-
18-Jul-15,-,-,-,0.65,-
17-Jul-15,-,-,-,0.65,-
16-Jul-15,-,-,-,0.65,-
15-Jul-15,-,-,-,0.64,-
14-Jul-15,-,-,-,0.64,-
13-Jul-15,-,-,-,0.64,-
12-Jul-15,-,-,-,0.64,-
11-Jul-15,-,-,-,0.64,-
10-Jul-15,-,-,-,0.64,-
9-Jul-15,-,-,-,0.65,-
8-Jul-15,-,-,-,0.65,-
7-Jul-15,-,-,-,0.65,-
6-Jul-15,-,-,-,0.65,-
5-Jul-15,-,-,-,0.65,-
4-Jul-15,-,-,-,0.65,-
3-Jul-15,-,-,-,0.65,-
2-Jul-15,-,-,-,0.64,-
1-Jul-15,-,-,-,0.64,-
30-Jun-15,-,-,-,0.64,-
29-Jun-15,-,-,-,0.64,-
28-Jun-15,-,-,-,0.63,-
27-Jun-15,-,-,-,0.63,-
26-Jun-15,-,-,-,0.62,-
25-Jun-15,-,-,-,0.62,-
24-Jun-15,-,-,-,0.61,-
23-Jun-15,-,-,-,0.61,-
22-Jun-15,-,-,-,0.60,-
21-Jun-15,-,-,-,0.60,-
20-Jun-15,-,-,-,0.61,-
19-Jun-15,-,-,-,0.61,-
18-Jun-15,-,-,-,0.61,-
17-Jun-15,-,-,-,0.61,-
16-Jun-15,-,-,-,0.61,-
15-Jun-15,-,-,-,0.61,-
14-Jun-15,-,-,-,0.61,-
13-Jun-15,-,-,-,0.61,-
12-Jun-15,-,-,-,0.60,-
11-Jun-15,-,-,-,0.60,-
10-Jun-15,-,-,-,0.60,-
9-Jun-15,-,-,-,0.60,-
8-Jun-15,-,-,-,0.59,-
7-Jun-15,-,-,-,0.59,-
6-Jun-15,-,-,-,0.59,-
5-Jun-15,-,-,-,0.60,-
4-Jun-15,-,-,-,0.60,-
3-Jun-15,-,-,-,0.60,-
2-Jun-15,-,-,-,0.60,-
1-Jun-15,-,-,-,0.60,-
31-May-15,-,-,-,0.61,-
30-May-15,-,-,-,0.61,-
29-May-15,-,-,-,0.61,-
28-May-15,-,-,-,0.61,-
27-May-15,-,-,-,0.61,-
26-May-15,-,-,-,0.61,-
25-May-15,-,-,-,0.61,-
24-May-15,-,-,-,0.59,-
23-May-15,-,-,-,0.59,-
22-May-15,-,-,-,0.58,-
21-May-15,-,-,-,0.58,-
20-May-15,-,-,-,0.58,-
19-May-15,-,-,-,0.58,-
18-May-15,-,-,-,0.58,-
17-May-15,-,-,-,0.58,-
16-May-15,-,-,-,0.58,-
15-May-15,-,-,-,0.58,-
14-May-15,-,-,-,0.58,-
13-May-15,-,-,-,0.58,-
12-May-15,-,-,-,0.58,-
11-May-15,-,-,-,0.58,-
10-May-15,-,-,-,0.57,-
9-May-15,-,-,-,0.57,-
8-May-15,-,-,-,0.56,-
7-May-15,-,-,-,0.56,-
6-May-15,-,-,-,0.55,-
5-May-15,-,-,-,0.55,-
4-May-15,-,-,-,0.55,-
3-May-15,-,-,-,0.55,-
2-May-15,-,-,-,0.56,-
1-May-15,-,-,-,0.56,-
30-Apr-15,-,-,-,0.57,-
29-Apr-15,-,-,-,0.57,-
28-Apr-15,-,-,-,0.57,-
27-Apr-15,-,-,-,0.57,-
26-Apr-15,-,-,-,0.57,-
25-Apr-15,-,-,-,0.57,-
24-Apr-15,-,-,-,0.57,-
